,tenor,ois,maturity,discount_factor
0,1D,0.979,2026-07-21,0.9998927238381766
1,1W,0.97729,2026-07-24,0.9998126096422756
2,2W,0.9775,2026-07-31,0.9996252090140998
3,3W,0.97844,2026-08-07,0.9994373786387982
4,1M,0.97875,2026-08-17,0.9991694233078099
5,2M,0.97993,2026-09-17,0.9983382274544595
6,3M,0.99625,2026-10-19,0.9974408809616478
7,4M,1.02613,2026-11-17,0.9965539984549191
8,5M,1.04839,2026-12-17,0.9956246070980592
9,6M,1.07771,2027-01-19,0.9945381040879688
10,7M,1.10625,2027-02-17,0.9936256254378981
11,8M,1.12637,2027-03-17,0.9926528453738267
12,9M,1.14983,2027-04-19,0.9914712347305342
13,10M,1.17325,2027-05-17,0.9904091959013387
14,11M,1.19307,2027-06-17,0.9892492513797597
15,1Y,1.2146,2027-07-20,0.9879766263490473
16,15M,1.27625,2027-10-18,0.984251718615318
17,18M,1.33281,2028-01-18,0.9802737270950113
18,2Y,1.4375,2028-07-18,0.9717397140522034
19,3Y,1.62583,2029-07-17,0.9524373434230563
20,4Y,1.79208,2030-07-17,0.9306985500762849
21,5Y,1.94583,2031-07-17,0.9068729760852661
22,6Y,2.08854,2032-07-20,0.8813167532398231
23,7Y,2.22333,2033-07-19,0.8543614369941124
24,8Y,2.34979,2034-07-18,0.8263304455454253
25,9Y,2.4675,2035-07-17,0.7976477931325601
26,10Y,2.57668,2036-07-17,0.7684601375003653
27,11Y,2.67625,2037-07-17,0.7395495863451129
28,12Y,2.76812,2038-07-20,0.7103164044549503
29,15Y,2.99607,2041-07-17,0.6239580710155466
30,20Y,3.26068,2046-07-17,0.49116718092834943
31,25Y,3.39833,2051-07-18,0.3879329182827581
32,30Y,3.46065,2056-07-18,0.3109126230846571
33,35Y,3.47125,2061-07-19,0.25579321573113023
34,40Y,3.46438,2066-07-20,0.2136852328139217
